run_id,run_timestamp,account_id,previous_primary_nba,current_primary_nba,previous_execution_status,current_execution_status,previous_priority,current_priority,action_state,change_type,change_flags,generated_action,human_owner,notes
RUN001,2026-09-18T07:00Z,ACC-001,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,0fcb61d89d13,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-002,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,ad531f2937d6,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-003,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,540a58c7127b,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-004,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,08d49164fd60,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-005,,Retention Conversation,,HOLD — Critical Data Issue,,P0,On Hold,BASELINE,BASELINE,5b28ca9bd14c,Portfolio Lead,Withheld: account on HOLD (critical data issue)
RUN001,2026-09-18T07:00Z,ACC-006,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,e3d57b7950e8,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-007,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,5d2eb2a4b67f,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-008,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,bbf41110e504,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-009,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,14b26d9cbee4,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-010,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,4966e1678608,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-011,,Establish / Re-establish,,Ready — Human,,P2,Draft Ready,BASELINE,BASELINE,7524c507b827,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-012,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,b5cb9babc36d,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-013,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,d5ca9688e26f,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-014,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,3541cedf4075,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-015,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,2285c67f93e3,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-016,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,BASELINE,BASELINE,37d831150a2a,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN001,2026-09-18T07:00Z,ACC-017,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,5cb38fc6a985,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-018,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,b301fe425ce1,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-019,,Guided Self-Serve Migration,,Ready — Hybrid,,P2,Draft Ready,BASELINE,BASELINE,007fe44db0d2,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-020,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,52e8620a3f1a,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-021,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,71752711fe5b,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-022,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,8f37f6a06496,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-023,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,2808d52199a5,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-024,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,49dad3347eeb,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-025,,Reinforce Successful Behaviour,,Ready — Automated,,P2,Draft Ready,BASELINE,BASELINE,ca096fe30dd8,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-026,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,beae7abebe16,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-027,,Guided Self-Serve Migration,,Ready — Hybrid,,P2,Draft Ready,BASELINE,BASELINE,c2f68f7ca5fd,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-028,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,f91bbd0fb68a,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-029,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,BASELINE,BASELINE,65f4916d6b6c,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-030,,Guided Self-Serve Migration,,Ready — Hybrid,,P2,Draft Ready,BASELINE,BASELINE,159c0643b8b5,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-031,,Guided Self-Serve Migration,,Ready — Hybrid,,P2,Draft Ready,BASELINE,BASELINE,9699924bde84,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-032,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,8480fbee4c85,Account Manager,Draft ready (not sent)
