account_id,primary_nba,execution_status,attention_priority,migration_progress_status,guardrail_codes,action_state,action_key,input_row_hash,run_id
ACC-001,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE,Awaiting Sign-Off,0fcb61d89d13,2396b90ecfb0,RUN003
ACC-002,Verify Demand / Win-Back,Ready — Human,P1,N/A,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,ad531f2937d6,656109fd8dba,RUN003
ACC-003,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE,Awaiting Sign-Off,540a58c7127b,7ade1bc4f5c9,RUN003
ACC-004,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; BORDERLINE_MOMENTUM,Awaiting Sign-Off,08d49164fd60,0dc215ffa0ba,RUN003
ACC-005,Retention Conversation,HOLD — Critical Data Issue,P0,N/A,CRITICAL_DATA_BLOCKER,On Hold,5b28ca9bd14c,2c0f51ffa659,RUN003
ACC-006,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF,Awaiting Sign-Off,e3d57b7950e8,bfb2de17c5df,RUN003
ACC-007,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF,Awaiting Sign-Off,5d2eb2a4b67f,235de66261f1,RUN003
ACC-008,Retention Conversation,Ready — Human,P1,N/A,BORDERLINE_MOMENTUM; MATERIAL_BROKER_INCONSISTENCY,Draft Ready,bbf41110e504,85fafc0d9107,RUN003
ACC-009,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,14b26d9cbee4,a1ff9aff1f76,RUN003
ACC-010,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,4966e1678608,01ba30006720,RUN003
ACC-011,Establish / Re-establish,Ready — Human,P2,N/A,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,7524c507b827,32683ca135fd,RUN003
