run_id,run_timestamp,account_id,previous_primary_nba,current_primary_nba,previous_execution_status,current_execution_status,previous_priority,current_priority,action_state,change_type,change_flags,generated_action,human_owner,notes
RUN002,2026-09-19T07:00Z,ACC-211,Retention Conversation,Reinforce Successful Behaviour,Ready — Human,Human Review Required,P1,P2,Awaiting Human Review,NBA_CHANGED,NBA_CHANGED;PRIORITY_DECREASED;EXECUTION_STATUS_CHANGED;GUARDRAILS_CHANGED;DATA_UPDATED,0f799e9cf54b,Customer Success / Growth,Withheld until human review is complete
RUN002,2026-09-19T07:00Z,ACC-301,,Retention Conversation,,Ready — Human,,P1,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,5ec9071df9c3,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-302,,Guided Self-Serve Migration,,Human Sign-Off Required,,P2,Awaiting Sign-Off,NEW_ACCOUNT,NEW_ACCOUNT,c5b4f4826999,Portfolio Lead + Account Manager,Withheld until sign-off is recorded
RUN002,2026-09-19T07:00Z,ACC-303,,Retention Conversation,,Ready — Human,,P1,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,098772224d83,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-304,,Guided Self-Serve Migration,,Ready — Hybrid,,P2,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,9ce6f8396576,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-305,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,962b402c8042,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-306,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,b7ed5d73d9d0,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-307,,Establish / Re-establish,,Ready — Human,,P2,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,f0c9d7e4576d,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-308,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,560c61f4bb1d,Account Manager,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-309,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,e825aada3171,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-310,,Service Model Review,,Ready — Human,,P3,Not Started,NEW_ACCOUNT,NEW_ACCOUNT,618c111a6d6b,Portfolio Lead,None: internal-only review
RUN002,2026-09-19T07:00Z,ACC-311,,Automated Nurture,,Ready — Automated,,P3,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,d9c6ad7bd10f,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-312,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,fca883535edd,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-313,,Service Model Review,,Ready — Human,,P3,Not Started,NEW_ACCOUNT,NEW_ACCOUNT,36cd01a37a11,Portfolio Lead,None: internal-only review
RUN002,2026-09-19T07:00Z,ACC-314,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,96c9cb8e3c47,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-315,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,9e21a407858c,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-316,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,f35144765037,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-317,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,72f88603e5d2,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-318,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,a7af2ab24f72,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-319,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,370480312be3,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-320,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,90fe3d1a4327,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-321,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,fe046772254c,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-322,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,f5c1b81dd06b,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-323,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,c552125ab390,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-324,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,4d1b76003b22,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-325,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,04acf9d29755,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-326,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,dedc35c6bde7,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-327,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,76b954533fbf,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-328,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,33aeebc57177,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-329,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,e2e812e4313d,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-330,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,91567a692bc6,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-331,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,06455cade58a,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-332,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,990096ea67ba,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-333,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,0cb18308da4f,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-334,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,7435936fab67,Automation,Draft ready (not sent)
